id,relation,source,target
110,r_cert_chain,Cert_9ace6aae20e3ac6d9ebfae8938b91112460b27ad204cf11f1301f154c5d309a4,Cert_a91593a45b6eceaae2a0478cc243543184d325720bc3f19f91982450b6af57e2
136,r_cert_chain,Cert_9032204fc475b809ea02a4ffc7e682660892d9e9d23b7b1777d0b4f0e9a0a656,Cert_a91593a45b6eceaae2a0478cc243543184d325720bc3f19f91982450b6af57e2
1016,r_whois_name,Domain_61befc7014010dffed9239b8a133396e1a88fa822703b677b123268eb16be3f7,Whois_Name_db0925a5aeb1849fa7b41f7a29c1192d38e12e97fb6e82e72e894e3c733130ef
1017,r_whois_name,Domain_c58c149eec59bb14b0c102a0f303d4c20366926b5c3206555d2937474124beb9,Whois_Name_db0925a5aeb1849fa7b41f7a29c1192d38e12e97fb6e82e72e894e3c733130ef
1072,r_whois_email,Domain_61befc7014010dffed9239b8a133396e1a88fa822703b677b123268eb16be3f7,Whois_Email_5a3d16b7df3d815d5f3436bd5dd5c5e1054ee7cb74d4fd8d9efdf3af362a4a18
1073,r_whois_email,Domain_c58c149eec59bb14b0c102a0f303d4c20366926b5c3206555d2937474124beb9,Whois_Email_5a3d16b7df3d815d5f3436bd5dd5c5e1054ee7cb74d4fd8d9efdf3af362a4a18
1128,r_whois_phone,Domain_61befc7014010dffed9239b8a133396e1a88fa822703b677b123268eb16be3f7,Whois_Phone_f6974ce3fa84ae76d75b9211f3162155db77566a36c82549b66a9a3d966a928b
1129,r_whois_phone,Domain_c58c149eec59bb14b0c102a0f303d4c20366926b5c3206555d2937474124beb9,Whois_Phone_f6974ce3fa84ae76d75b9211f3162155db77566a36c82549b66a9a3d966a928b
1197,r_subdomain,Domain_61befc7014010dffed9239b8a133396e1a88fa822703b677b123268eb16be3f7,Domain_c58c149eec59bb14b0c102a0f303d4c20366926b5c3206555d2937474124beb9
1199,r_dns_a,Domain_61befc7014010dffed9239b8a133396e1a88fa822703b677b123268eb16be3f7,IP_94fb4d47d3920b6a5b74a8ce9e304377460fdffdf6582eca97eda2037bbe0b47
1202,r_dns_a,Domain_c58c149eec59bb14b0c102a0f303d4c20366926b5c3206555d2937474124beb9,IP_94fb4d47d3920b6a5b74a8ce9e304377460fdffdf6582eca97eda2037bbe0b47
1281,r_dns_a,Domain_1d8e02f35e2cba9afb64a653aec2d7703559001c9d4f24c9b119eba50c47df10,IP_94fb4d47d3920b6a5b74a8ce9e304377460fdffdf6582eca97eda2037bbe0b47
1282,r_subdomain,Domain_1d8e02f35e2cba9afb64a653aec2d7703559001c9d4f24c9b119eba50c47df10,Domain_110fb52a3afd8dbd4d2c36688306166f216e5a19362ae554addf7677ee568aea
